,war,타수,득점,안타,2루타,3루타,홈런,타점,도루성공,도루실패,4구,사구,고의4구,삼진,병살타,희생타,희생플라이,타율,출루율,장타율,R/ePA,wRC+,rangeRAA,종합 RAA,WAAwoPOS
7042,0.02,213.0,34.0,66.0,8.0,3.0,1.0,12.0,7.0,4.0,20.0,6.0,0.0,49.0,1.0,1.0,0.0,0.31,0.385,0.39,-0.013,94.2,-10.73,-10.57,-0.913
7043,0.01,29.0,4.0,6.0,4.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,12.0,0.0,1.0,0.0,0.207,0.281,0.345,-0.087,43.5,0.86,1.41,0.122
7044,0.01,18.0,4.0,6.0,2.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,6.0,1.0,0.0,0.0,0.333,0.429,0.611,0.066,150.5,0.0329949099052104,0.0049017089548777,0.0009672993257853
7045,0.0,180.0,20.0,47.0,4.0,0.0,1.0,14.0,8.0,4.0,12.0,2.0,0.0,26.0,6.0,4.0,0.0,0.261,0.314,0.3,-0.085,43.7,3.85,3.71,0.32
7046,0.0,132.0,12.0,24.0,5.0,0.0,1.0,10.0,0.0,1.0,17.0,4.0,0.0,39.0,2.0,4.0,2.0,0.182,0.29,0.242,-0.096,36.4,0.23,0.86,0.074
7047,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.25,-0.145,0.0,0.03,0.04,0.004
7049,-0.01,17.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.176,0.3,0.176,-0.117,19.8,0.97,0.1,0.009
7050,-0.01,15.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.4,0.4,0.4,0.004,106.7,0.0,-0.87,-0.075
7052,-0.01,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.25,0.25,0.25,-0.128,41.6,0.26,0.27,0.023
7056,-0.02,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.077,0.2,0.077,-0.202,-40.7,1.81,1.18,0.102
7059,-0.03,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.25,0.333,0.25,-0.087,41.6,-0.37,-0.76,-0.066
